Fecha,TCR1
1/1/2007,7.59615,7.59615
2/1/2007,7.62534,7.62534
3/1/2007,7.63713,7.63713
4/1/2007,7.68646,7.68646
5/1/2007,7.69626,7.69626
6/1/2007,7.69626,7.69626
7/1/2007,7.69626,7.69626
8/1/2007,7.69948,7.69948
9/1/2007,7.70406,7.70406
10/1/2007,7.71632,7.71632
11/1/2007,7.71522,7.71522
12/1/2007,7.68402,7.68402
13/1/2007,7.68402,7.68402
14/1/2007,7.68402,7.68402
15/1/2007,7.66632,7.66632
16/1/2007,7.66963,7.66963
17/1/2007,7.65596,7.65596
18/1/2007,7.65632,7.65632
19/1/2007,7.64651,7.64651
20/1/2007,7.64651,7.64651
21/1/2007,7.64651,7.64651
22/1/2007,7.65241,7.65241
23/1/2007,7.65353,7.65353
24/1/2007,7.66627,7.66627
25/1/2007,7.67231,7.67231
26/1/2007,7.68465,7.68465
27/1/2007,7.68465,7.68465
28/1/2007,7.68465,7.68465
29/1/2007,7.68564,7.68564
30/1/2007,7.69325,7.69325
31/1/2007,7.71288,7.71288
1/2/2007,7.74237,7.74237
2/2/2007,7.73595,7.73595
3/2/2007,7.73595,7.73595
4/2/2007,7.73595,7.73595
5/2/2007,7.71535,7.71535
6/2/2007,7.70079,7.70079
7/2/2007,7.67788,7.67788
8/2/2007,7.67170,7.67170
9/2/2007,7.67737,7.67737
10/2/2007,7.67737,7.67737
11/2/2007,7.67737,7.67737
12/2/2007,7.68582,7.68582
13/2/2007,7.68899,7.68899
14/2/2007,7.69813,7.69813
15/2/2007,7.70110,7.70110
16/2/2007,7.69615,7.69615
17/2/2007,7.69615,7.69615
18/2/2007,7.69615,7.69615
19/2/2007,7.67923,7.67923
20/2/2007,7.67431,7.67431
21/2/2007,7.67576,7.67576
22/2/2007,7.68404,7.68404
23/2/2007,7.69616,7.69616
24/2/2007,7.69616,7.69616
25/2/2007,7.69616,7.69616
26/2/2007,7.71281,7.71281
27/2/2007,7.71333,7.71333
28/2/2007,7.72054,7.72054
1/3/2007,7.72358,7.72358
2/3/2007,7.72104,7.72104
3/3/2007,7.72104,7.72104
4/3/2007,7.72104,7.72104
5/3/2007,7.71229,7.71229
6/3/2007,7.70436,7.70436
7/3/2007,7.68556,7.68556
8/3/2007,7.68136,7.68136
9/3/2007,7.68241,7.68241
10/3/2007,7.68241,7.68241
11/3/2007,7.68241,7.68241
12/3/2007,7.68428,7.68428
13/3/2007,7.68635,7.68635
14/3/2007,7.68201,7.68201
15/3/2007,7.67717,7.67717
16/3/2007,7.67925,7.67925
17/3/2007,7.67925,7.67925
18/3/2007,7.67925,7.67925
19/3/2007,7.68738,7.68738
20/3/2007,7.68974,7.68974
21/3/2007,7.68829,7.68829
22/3/2007,7.69207,7.69207
23/3/2007,7.69193,7.69193
24/3/2007,7.69193,7.69193
25/3/2007,7.69193,7.69193
26/3/2007,7.69062,7.69062
27/3/2007,7.69358,7.69358
28/3/2007,7.69788,7.69788
29/3/2007,7.69534,7.69534
30/3/2007,7.69235,7.69235
31/3/2007,7.69235,7.69235
1/4/2007,7.69235,7.69235
2/4/2007,7.69352,7.69352
3/4/2007,7.68734,7.68734
4/4/2007,7.67811,7.67811
5/4/2007,7.67811,7.67811
6/4/2007,7.67811,7.67811
7/4/2007,7.67811,7.67811
8/4/2007,7.67811,7.67811
9/4/2007,7.67548,7.67548
10/4/2007,7.67541,7.67541
11/4/2007,7.67146,7.67146
12/4/2007,7.67023,7.67023
13/4/2007,7.66738,7.66738
14/4/2007,7.66738,7.66738
15/4/2007,7.66738,7.66738
16/4/2007,7.66572,7.66572
17/4/2007,7.65853,7.65853
18/4/2007,7.64966,7.64966
19/4/2007,7.64141,7.64141
20/4/2007,7.63824,7.63824
21/4/2007,7.63824,7.63824
22/4/2007,7.63824,7.63824
23/4/2007,7.64349,7.64349
24/4/2007,7.64701,7.64701
25/4/2007,7.65057,7.65057
26/4/2007,7.65651,7.65651
27/4/2007,7.67130,7.67130
28/4/2007,7.67130,7.67130
29/4/2007,7.67130,7.67130
30/4/2007,7.67313,7.67313
1/5/2007,7.67313,7.67313
2/5/2007,7.65951,7.65951
3/5/2007,7.64962,7.64962
4/5/2007,7.64621,7.64621
5/5/2007,7.64621,7.64621
6/5/2007,7.64621,7.64621
7/5/2007,7.64332,7.64332
8/5/2007,7.63865,7.63865
9/5/2007,7.63436,7.63436
10/5/2007,7.63552,7.63552
11/5/2007,7.63777,7.63777
12/5/2007,7.63777,7.63777
13/5/2007,7.63777,7.63777
14/5/2007,7.63991,7.63991
15/5/2007,7.63481,7.63481
16/5/2007,7.63073,7.63073
17/5/2007,7.63526,7.63526
18/5/2007,7.64536,7.64536
19/5/2007,7.64536,7.64536
20/5/2007,7.64536,7.64536
